PassengerId,Survived,Pclass,Age,SibSp,Parch,male
1,0,3,22.0,1,0,1
2,1,1,38.0,1,0,0
3,1,3,26.0,0,0,0
4,1,1,35.0,1,0,0
5,0,3,35.0,0,0,1
6,0,3,24.0,0,0,1
7,0,1,54.0,0,0,1
8,0,3,2.0,3,1,1
9,1,3,27.0,0,2,0
10,1,2,14.0,1,0,0
11,1,3,4.0,1,1,0
12,1,1,58.0,0,0,0
13,0,3,20.0,0,0,1
14,0,3,39.0,1,5,1
15,0,3,14.0,0,0,0
16,1,2,55.0,0,0,0
17,0,3,2.0,4,1,1
18,1,2,26.5,0,0,1
19,0,3,31.0,1,0,0
20,1,3,24.0,0,0,0
21,0,2,35.0,0,0,1
22,1,2,34.0,0,0,1
23,1,3,15.0,0,0,0
24,1,1,28.0,0,0,1
25,0,3,8.0,3,1,0
26,1,3,38.0,1,5,0
27,0,3,24.0,0,0,1
28,0,1,19.0,3,2,1
29,1,3,24.0,0,0,0
30,0,3,24.0,0,0,1
31,0,1,40.0,0,0,1
32,1,1,42.0,1,0,0
33,1,3,24.0,0,0,0
34,0,2,66.0,0,0,1
35,0,1,28.0,1,0,1
36,0,1,42.0,1,0,1
37,1,3,24.0,0,0,1
38,0,3,21.0,0,0,1
39,0,3,18.0,2,0,0
40,1,3,14.0,1,0,0
41,0,3,40.0,1,0,0
42,0,2,27.0,1,0,0
43,0,3,24.0,0,0,1
44,1,2,3.0,1,2,0
45,1,3,19.0,0,0,0
46,0,3,24.0,0,0,1
47,0,3,24.0,1,0,1
48,1,3,24.0,0,0,0
49,0,3,24.0,2,0,1
50,0,3,18.0,1,0,0
51,0,3,7.0,4,1,1
52,0,3,21.0,0,0,1
53,1,1,49.0,1,0,0
54,1,2,29.0,1,0,0
55,0,1,65.0,0,1,1
56,1,1,42.0,0,0,1
57,1,2,21.0,0,0,0
58,0,3,28.5,0,0,1
59,1,2,5.0,1,2,0
60,0,3,11.0,5,2,1
61,0,3,22.0,0,0,1
62,1,1,38.0,0,0,0
63,0,1,45.0,1,0,1
64,0,3,4.0,3,2,1
65,0,1,42.0,0,0,1
66,1,3,24.0,1,1,1
67,1,2,29.0,0,0,0
68,0,3,19.0,0,0,1
69,1,3,17.0,4,2,0
70,0,3,26.0,2,0,1
71,0,2,32.0,0,0,1
72,0,3,16.0,5,2,0
73,0,2,21.0,0,0,1
74,0,3,26.0,1,0,1
75,1,3,32.0,0,0,1
76,0,3,25.0,0,0,1
77,0,3,24.0,0,0,1
78,0,3,24.0,0,0,1
79,1,2,0.83,0,2,1
80,1,3,30.0,0,0,0
81,0,3,22.0,0,0,1
82,1,3,29.0,0,0,1
83,1,3,24.0,0,0,0
84,0,1,28.0,0,0,1
85,1,2,17.0,0,0,0
86,1,3,33.0,3,0,0
87,0,3,16.0,1,3,1
88,0,3,24.0,0,0,1
89,1,1,23.0,3,2,0
90,0,3,24.0,0,0,1
91,0,3,29.0,0,0,1
92,0,3,20.0,0,0,1
93,0,1,46.0,1,0,1
94,0,3,26.0,1,2,1
95,0,3,59.0,0,0,1
96,0,3,24.0,0,0,1
97,0,1,71.0,0,0,1
98,1,1,23.0,0,1,1
99,1,2,34.0,0,1,0
100,0,2,34.0,1,0,1
101,0,3,28.0,0,0,0
102,0,3,24.0,0,0,1
103,0,1,21.0,0,1,1
104,0,3,33.0,0,0,1
105,0,3,37.0,2,0,1
106,0,3,28.0,0,0,1
107,1,3,21.0,0,0,0
108,1,3,24.0,0,0,1
109,0,3,38.0,0,0,1
110,1,3,24.0,1,0,0
111,0,1,47.0,0,0,1
112,0,3,14.5,1,0,0
113,0,3,22.0,0,0,1
114,0,3,20.0,1,0,0
115,0,3,17.0,0,0,0
116,0,3,21.0,0,0,1
117,0,3,70.5,0,0,1
118,0,2,29.0,1,0,1
119,0,1,24.0,0,1,1
120,0,3,2.0,4,2,0
121,0,2,21.0,2,0,1
122,0,3,24.0,0,0,1
123,0,2,32.5,1,0,1
124,1,2,32.5,0,0,0
125,0,1,54.0,0,1,1
126,1,3,12.0,1,0,1
127,0,3,24.0,0,0,1
128,1,3,24.0,0,0,1
129,1,3,24.0,1,1,0
130,0,3,45.0,0,0,1
131,0,3,33.0,0,0,1
132,0,3,20.0,0,0,1
133,0,3,47.0,1,0,0
134,1,2,29.0,1,0,0
135,0,2,25.0,0,0,1
136,0,2,23.0,0,0,1
137,1,1,19.0,0,2,0
138,0,1,37.0,1,0,1
139,0,3,16.0,0,0,1
140,0,1,24.0,0,0,1
141,0,3,24.0,0,2,0
142,1,3,22.0,0,0,0
143,1,3,24.0,1,0,0
144,0,3,19.0,0,0,1
145,0,2,18.0,0,0,1
146,0,2,19.0,1,1,1
147,1,3,27.0,0,0,1
148,0,3,9.0,2,2,0
149,0,2,36.5,0,2,1
150,0,2,42.0,0,0,1
151,0,2,51.0,0,0,1
152,1,1,22.0,1,0,0
153,0,3,55.5,0,0,1
154,0,3,40.5,0,2,1
155,0,3,24.0,0,0,1
156,0,1,51.0,0,1,1
157,1,3,16.0,0,0,0
158,0,3,30.0,0,0,1
159,0,3,24.0,0,0,1
160,0,3,24.0,8,2,1
161,0,3,44.0,0,1,1
162,1,2,40.0,0,0,0
163,0,3,26.0,0,0,1
164,0,3,17.0,0,0,1
165,0,3,1.0,4,1,1
166,1,3,9.0,0,2,1
167,1,1,42.0,0,1,0
168,0,3,45.0,1,4,0
169,0,1,42.0,0,0,1
170,0,3,28.0,0,0,1
171,0,1,61.0,0,0,1
172,0,3,4.0,4,1,1
173,1,3,1.0,1,1,0
174,0,3,21.0,0,0,1
175,0,1,56.0,0,0,1
176,0,3,18.0,1,1,1
177,0,3,24.0,3,1,1
178,0,1,50.0,0,0,0
179,0,2,30.0,0,0,1
180,0,3,36.0,0,0,1
181,0,3,24.0,8,2,0
182,0,2,26.5,0,0,1
183,0,3,9.0,4,2,1
184,1,2,1.0,2,1,1
185,1,3,4.0,0,2,0
186,0,1,42.0,0,0,1
187,1,3,24.0,1,0,0
188,1,1,45.0,0,0,1
189,0,3,40.0,1,1,1
190,0,3,36.0,0,0,1
191,1,2,32.0,0,0,0
192,0,2,19.0,0,0,1
193,1,3,19.0,1,0,0
194,1,2,3.0,1,1,1
195,1,1,44.0,0,0,0
196,1,1,58.0,0,0,0
197,0,3,24.0,0,0,1
198,0,3,42.0,0,1,1
199,1,3,24.0,0,0,0
200,0,2,24.0,0,0,0
201,0,3,28.0,0,0,1
202,0,3,24.0,8,2,1
203,0,3,34.0,0,0,1
204,0,3,45.5,0,0,1
205,1,3,18.0,0,0,1
206,0,3,2.0,0,1,0
207,0,3,32.0,1,0,1
208,1,3,26.0,0,0,1
209,1,3,16.0,0,0,0
210,1,1,40.0,0,0,1
211,0,3,24.0,0,0,1
212,1,2,35.0,0,0,0
213,0,3,22.0,0,0,1
214,0,2,30.0,0,0,1
215,0,3,24.0,1,0,1
216,1,1,31.0,1,0,0
217,1,3,27.0,0,0,0
218,0,2,42.0,1,0,1
219,1,1,32.0,0,0,0
220,0,2,30.0,0,0,1
221,1,3,16.0,0,0,1
222,0,2,27.0,0,0,1
223,0,3,51.0,0,0,1
224,0,3,24.0,0,0,1
225,1,1,38.0,1,0,1
226,0,3,22.0,0,0,1
227,1,2,19.0,0,0,1
228,0,3,20.5,0,0,1
229,0,2,18.0,0,0,1
230,0,3,24.0,3,1,0
231,1,1,35.0,1,0,0
232,0,3,29.0,0,0,1
233,0,2,59.0,0,0,1
234,1,3,5.0,4,2,0
235,0,2,24.0,0,0,1
236,0,3,24.0,0,0,0
237,0,2,44.0,1,0,1
238,1,2,8.0,0,2,0
239,0,2,19.0,0,0,1
240,0,2,33.0,0,0,1
241,0,3,24.0,1,0,0
242,1,3,24.0,1,0,0
243,0,2,29.0,0,0,1
244,0,3,22.0,0,0,1
245,0,3,30.0,0,0,1
246,0,1,44.0,2,0,1
247,0,3,25.0,0,0,0
248,1,2,24.0,0,2,0
249,1,1,37.0,1,1,1
250,0,2,54.0,1,0,1
251,0,3,24.0,0,0,1
252,0,3,29.0,1,1,0
253,0,1,62.0,0,0,1
254,0,3,30.0,1,0,1
255,0,3,41.0,0,2,0
256,1,3,29.0,0,2,0
257,1,1,42.0,0,0,0
258,1,1,30.0,0,0,0
259,1,1,35.0,0,0,0
260,1,2,50.0,0,1,0
261,0,3,24.0,0,0,1
262,1,3,3.0,4,2,1
263,0,1,52.0,1,1,1
264,0,1,40.0,0,0,1
265,0,3,24.0,0,0,0
266,0,2,36.0,0,0,1
267,0,3,16.0,4,1,1
268,1,3,25.0,1,0,1
269,1,1,58.0,0,1,0
270,1,1,35.0,0,0,0
271,0,1,42.0,0,0,1
272,1,3,25.0,0,0,1
273,1,2,41.0,0,1,0
274,0,1,37.0,0,1,1
275,1,3,24.0,0,0,0
276,1,1,63.0,1,0,0
277,0,3,45.0,0,0,0
278,0,2,26.5,0,0,1
279,0,3,7.0,4,1,1
280,1,3,35.0,1,1,0
281,0,3,65.0,0,0,1
282,0,3,28.0,0,0,1
283,0,3,16.0,0,0,1
284,1,3,19.0,0,0,1
285,0,1,42.0,0,0,1
286,0,3,33.0,0,0,1
287,1,3,30.0,0,0,1
288,0,3,22.0,0,0,1
289,1,2,42.0,0,0,1
290,1,3,22.0,0,0,0
291,1,1,26.0,0,0,0
292,1,1,19.0,1,0,0
293,0,2,36.0,0,0,1
294,0,3,24.0,0,0,0
295,0,3,24.0,0,0,1
296,0,1,42.0,0,0,1
297,0,3,23.5,0,0,1
298,0,1,2.0,1,2,0
299,1,1,42.0,0,0,1
300,1,1,50.0,0,1,0
301,1,3,24.0,0,0,0
302,1,3,24.0,2,0,1
303,0,3,19.0,0,0,1
304,1,2,26.5,0,0,0
305,0,3,24.0,0,0,1
306,1,1,0.92,1,2,1
307,1,1,42.0,0,0,0
308,1,1,17.0,1,0,0
309,0,2,30.0,1,0,1
310,1,1,30.0,0,0,0
311,1,1,24.0,0,0,0
312,1,1,18.0,2,2,0
313,0,2,26.0,1,1,0
314,0,3,28.0,0,0,1
315,0,2,43.0,1,1,1
316,1,3,26.0,0,0,0
317,1,2,24.0,1,0,0
318,0,2,54.0,0,0,1
319,1,1,31.0,0,2,0
320,1,1,40.0,1,1,0
321,0,3,22.0,0,0,1
322,0,3,27.0,0,0,1
323,1,2,30.0,0,0,0
324,1,2,22.0,1,1,0
325,0,3,24.0,8,2,1
326,1,1,36.0,0,0,0
327,0,3,61.0,0,0,1
328,1,2,36.0,0,0,0
329,1,3,31.0,1,1,0
330,1,1,16.0,0,1,0
331,1,3,24.0,2,0,0
332,0,1,45.5,0,0,1
333,0,1,38.0,0,1,1
334,0,3,16.0,2,0,1
335,1,1,42.0,1,0,0
336,0,3,24.0,0,0,1
337,0,1,29.0,1,0,1
338,1,1,41.0,0,0,0
339,1,3,45.0,0,0,1
340,0,1,45.0,0,0,1
341,1,2,2.0,1,1,1
342,1,1,24.0,3,2,0
343,0,2,28.0,0,0,1
344,0,2,25.0,0,0,1
345,0,2,36.0,0,0,1
346,1,2,24.0,0,0,0
347,1,2,40.0,0,0,0
348,1,3,24.0,1,0,0
349,1,3,3.0,1,1,1
350,0,3,42.0,0,0,1
351,0,3,23.0,0,0,1
352,0,1,42.0,0,0,1
353,0,3,15.0,1,1,1
354,0,3,25.0,1,0,1
355,0,3,24.0,0,0,1
356,0,3,28.0,0,0,1
357,1,1,22.0,0,1,0
358,0,2,38.0,0,0,0
359,1,3,24.0,0,0,0
360,1,3,24.0,0,0,0
361,0,3,40.0,1,4,1
362,0,2,29.0,1,0,1
363,0,3,45.0,0,1,0
364,0,3,35.0,0,0,1
365,0,3,24.0,1,0,1
366,0,3,30.0,0,0,1
367,1,1,60.0,1,0,0
368,1,3,24.0,0,0,0
369,1,3,24.0,0,0,0
370,1,1,24.0,0,0,0
371,1,1,25.0,1,0,1
372,0,3,18.0,1,0,1
373,0,3,19.0,0,0,1
374,0,1,22.0,0,0,1
375,0,3,3.0,3,1,0
376,1,1,42.0,1,0,0
377,1,3,22.0,0,0,0
378,0,1,27.0,0,2,1
379,0,3,20.0,0,0,1
380,0,3,19.0,0,0,1
381,1,1,42.0,0,0,0
382,1,3,1.0,0,2,0
383,0,3,32.0,0,0,1
384,1,1,35.0,1,0,0
385,0,3,24.0,0,0,1
386,0,2,18.0,0,0,1
387,0,3,1.0,5,2,1
388,1,2,36.0,0,0,0
389,0,3,24.0,0,0,1
390,1,2,17.0,0,0,0
391,1,1,36.0,1,2,1
392,1,3,21.0,0,0,1
393,0,3,28.0,2,0,1
394,1,1,23.0,1,0,0
395,1,3,24.0,0,2,0
396,0,3,22.0,0,0,1
397,0,3,31.0,0,0,0
398,0,2,46.0,0,0,1
399,0,2,23.0,0,0,1
400,1,2,28.0,0,0,0
401,1,3,39.0,0,0,1
402,0,3,26.0,0,0,1
403,0,3,21.0,1,0,0
404,0,3,28.0,1,0,1
405,0,3,20.0,0,0,0
406,0,2,34.0,1,0,1
407,0,3,51.0,0,0,1
408,1,2,3.0,1,1,1
409,0,3,21.0,0,0,1
410,0,3,24.0,3,1,0
411,0,3,24.0,0,0,1
412,0,3,24.0,0,0,1
413,1,1,33.0,1,0,0
414,0,2,26.5,0,0,1
415,1,3,44.0,0,0,1
416,0,3,24.0,0,0,0
417,1,2,34.0,1,1,0
418,1,2,18.0,0,2,0
